k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
1,0.24658848632180463,0.01906108856201172, 0.24652855845010258,0.01906108856201172,
2,0.25841751443460353,0.030813217163085938, 0.25603680854911615,0.030813217163085938,
3,0.29323116832995977,0.07353019714355469, 0.26245136988645174,0.07353019714355469,
4,0.29324612259055544,0.18653202056884766, 0.24242539997796891,0.18653202056884766,
5,0.29274120929723924,0.24404001235961914, 0.24216119905936384,0.24404001235961914,
6,0.296082094971542,0.2461230754852295, 0.24011782539982235,0.2461230754852295,
7,0.28481253278519053,0.292064905166626, 0.23803807082405326,0.292064905166626,
8,0.28700860659309113,0.3722696304321289, 0.23435219453600087,0.3722696304321289,
9,0.28445841001009825,0.40782642364501953, 0.23439899085688312,0.40782642364501953,
10,0.2814186782036364,0.523289680480957, 0.23178313845901485,0.523289680480957,
11,0.2854707996083718,0.5279097557067871, 0.23003405388133943,0.5279097557067871,
12,0.27281464812413175,0.5114257335662842, 0.22857666138686267,0.5114257335662842,
13,0.27805856994202466,0.5961742401123047, 0.22828584499930799,0.5961742401123047,
14,0.2840534541707888,0.6378579139709473, 0.22784410994294732,0.6378579139709473,
15,0.2843148813581911,0.6809422969818115, 0.22779663015229412,0.6809422969818115,
16,0.2851606751997867,0.7849178314208984, 0.22977679158785405,0.7849178314208984,
