switch,regression_tree_noAudioPlayed_nmae,time_to_train_regression_tree_s,random_forest_noAudioPlayed_nmae,time_to_train_random_forest_s,
SWC1,0.35289466534756997,0.11562156677246094,0.33166809737637926,0.11562156677246094,
SWC2,0.32935882674699546,0.0027000904083251953,0.3293554852916579,0.0027000904083251953,
SWC3,0.32935882674699546,0.0027124881744384766,0.3293554852916579,0.0027124881744384766,
SWC4,0.32958460851457383,0.0038695335388183594,0.3295924248600629,0.0038695335388183594,
SWA1,0.3624367576877534,0.12412548065185547,0.3347112702293831,0.12412548065185547,
SWA2,0.36868478203294663,0.11808562278747559,0.34679738456826764,0.11808562278747559,
SWA3,0.32935882674699546,0.01168060302734375,0.3293554852916579,0.01168060302734375,
SWA4,0.3293531403634042,0.0026731491088867188,0.3293504686290133,0.0026731491088867188,
SWA5,0.32834933140790135,0.10219430923461914,0.3086469086391443,0.10219430923461914,
SWA6,0.32935882674699546,0.0033893585205078125,0.3293554852916579,0.0033893585205078125,
SWB1,0.31803706627435496,0.10662007331848145,0.2953893176573747,0.10662007331848145,
SWB2,0.3698325840795969,0.12312555313110352,0.3487017931435676,0.12312555313110352,
SWB3,0.3494486961959781,0.1232903003692627,0.3255143593642559,0.1232903003692627,
SWB4,0.3670548774965869,0.1215050220489502,0.3446805956531577,0.1215050220489502,
