k,regression_tree_DispFrames_minimal_univariate_nmae,regression_tree_DispFrames_minimal_univariate_training_time,random_forest_DispFrames_minimal_univariate_nmae,random_forest_DispFrames_minimal_univariate_training_time,
1,0.07579699961527027,0.05485725402832031, 0.07752180307180376,0.05485725402832031,
2,0.09554412157621588,0.12624454498291016, 0.0928244782805156,0.12624454498291016,
3,0.06885216701346439,0.14899706840515137, 0.0723929301393758,0.14899706840515137,
4,0.06921245880933682,0.16084027290344238, 0.07249107142053925,0.16084027290344238,
5,0.07402174705086996,0.24779438972473145, 0.07466693249993928,0.24779438972473145,
6,0.07303398077903993,0.3067302703857422, 0.07477805620552015,0.3067302703857422,
7,0.0733011634591251,0.2997124195098877, 0.07531862884007631,0.2997124195098877,
8,0.07985928378848849,0.3477637767791748, 0.07919247408462944,0.3477637767791748,
9,0.07905368752580742,0.33463501930236816, 0.07900325342142264,0.33463501930236816,
10,0.07905368752580742,0.34757304191589355, 0.07927451805912024,0.34757304191589355,
11,0.07834524860133915,0.3744816780090332, 0.0800198632780346,0.3744816780090332,
12,0.07954352243929691,0.39226675033569336, 0.07902123427602938,0.39226675033569336,
13,0.07877436017844565,0.42267942428588867, 0.07967795715901149,0.42267942428588867,
14,0.07902130174640315,0.4953489303588867, 0.07988721652322464,0.4953489303588867,
15,0.0794827991029139,0.4927988052368164, 0.07973915278801079,0.4927988052368164,
16,0.08245014614082956,0.5227344036102295, 0.07998835461348922,0.5227344036102295,
