switch,regression_tree_ReadsAvg_nmae,time_to_train_regression_tree_s,random_forest_ReadsAvg_nmae,time_to_train_random_forest_s,
SWA1,0.16714376714174245,0.0008893013000488281,0.15845122404738612,0.0008893013000488281,
SWC4,0.17351074426516006,0.0008418560028076172,0.16338127396016247,0.0008418560028076172,
SWA6,0.15148381362659175,0.0010089874267578125,0.15148381362659175,0.0010089874267578125,
SWA4,0.15148381362659175,0.0008780956268310547,0.15148381362659175,0.0008780956268310547,
SWA3,0.15148381362659175,0.0008785724639892578,0.15148381362659175,0.0008785724639892578,
SWA2,0.16476112010108923,0.0008215904235839844,0.14869993797866857,0.0008215904235839844,
SWC1,0.09524202595862669,0.0010139942169189453,0.08948890503450961,0.0010139942169189453,
SWA2,0.16476112010108923,0.0010068416595458984,0.1486999379786686,0.0010068416595458984,
SWA1,0.16714376714174245,0.0009098052978515625,0.15845122404738612,0.0009098052978515625,
SWA5,0.20249151316646755,0.0009362697601318359,0.13817942906111275,0.0009362697601318359,
SWB1,0.18195101387744594,0.0009784698486328125,0.16984032146223638,0.0009784698486328125,
SWA4,0.15148381362659175,0.0008978843688964844,0.15148381362659175,0.0008978843688964844,
SWA3,0.15148381362659175,0.0009236335754394531,0.15148381362659175,0.0009236335754394531,
SWC2,0.15148381362659175,0.0008318424224853516,0.15148381362659175,0.0008318424224853516,
SWA3,0.15148381362659175,0.0008745193481445312,0.15148381362659175,0.0008745193481445312,
SWA6,0.15148381362659175,0.0007147789001464844,0.15148381362659175,0.0007147789001464844,
SWA2,0.16476112010108923,0.0008118152618408203,0.1486999379786686,0.0008118152618408203,
SWB2,0.16745447947507522,0.0009012222290039062,0.14617329337941337,0.0009012222290039062,
SWA4,0.15148381362659175,0.0009450912475585938,0.15148381362659175,0.0009450912475585938,
SWA5,0.20249151316646755,0.0008363723754882812,0.13817942906111277,0.0008363723754882812,
SWC3,0.15148381362659175,0.001107931137084961,0.15148381362659175,0.001107931137084961,
SWA4,0.15148381362659175,0.0009922981262207031,0.15148381362659175,0.0009922981262207031,
SWA3,0.15148381362659175,0.0010690689086914062,0.15148381362659175,0.0010690689086914062,
SWB1,0.18195101387744594,0.001096963882446289,0.1698403214622364,0.001096963882446289,
SWA6,0.15148381362659175,0.0008141994476318359,0.15148381362659175,0.0008141994476318359,
SWB3,0.21490131703612103,0.0008699893951416016,0.18294998301508403,0.0008699893951416016,
