k,regression_tree_ReadsAvg_minimal_univariate_nmae,regression_tree_ReadsAvg_minimal_univariate_training_time,random_forest_ReadsAvg_minimal_univariate_nmae,random_forest_ReadsAvg_minimal_univariate_training_time,
1,0.07711870060442176,0.0009338855743408203, 0.07597082062693651,0.0009338855743408203,
2,0.035701652560527423,0.0008525848388671875, 0.04636420458654204,0.0008525848388671875,
2,0.035701652560527423,0.0008821487426757812, 0.046364204586542064,0.0008821487426757812,
5,0.040695952286706756,0.0007991790771484375, 0.025882408317508102,0.0007991790771484375,
3,0.04995337487343024,0.000701904296875, 0.03600102688938035,0.000701904296875,
6,0.03578496995681434,0.0007576942443847656, 0.02439184230774412,0.0007576942443847656,
1,0.07711870060442176,0.0009074211120605469, 0.07597082062693655,0.0009074211120605469,
2,0.035701652560527423,0.0010058879852294922, 0.04636420458654204,0.0010058879852294922,
3,0.04995337487343024,0.0008540153503417969, 0.03600102688938035,0.0008540153503417969,
3,0.04995337487343024,0.0008096694946289062, 0.036001026889380394,0.0008096694946289062,
6,0.040695952286706756,0.0008003711700439453, 0.02439184230774412,0.0008003711700439453,
7,0.04884860398885743,0.0006875991821289062, 0.024774405548168215,0.0006875991821289062,
4,0.03748274722065324,0.0009169578552246094, 0.03984761465654832,0.0009169578552246094,
2,0.035701652560527423,0.0008537769317626953, 0.046364204586542,0.0008537769317626953,
3,0.04995337487343024,0.0008900165557861328, 0.03600102688938038,0.0008900165557861328,
4,0.04995337487343024,0.0008060932159423828, 0.0398476146565483,0.0008060932159423828,
4,0.04995337487343024,0.0009243488311767578, 0.03984761465654834,0.0009243488311767578,
7,0.057173820547374556,0.00084686279296875, 0.02477440554816811,0.00084686279296875,
8,0.04884860398885743,0.0009262561798095703, 0.02997200762803921,0.0009262561798095703,
5,0.044110186515331475,0.0008990764617919922, 0.025882408317507995,0.0008990764617919922,
3,0.04995337487343024,0.0009007453918457031, 0.03600102688938035,0.0009007453918457031,
4,0.033780904898084455,0.0007965564727783203, 0.03984761465654834,0.0007965564727783203,
5,0.03578496995681434,0.0008893013000488281, 0.025882408317507974,0.0008893013000488281,
