k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
3,0.0948905109489051,0.0008881092071533203, 0.09634748488534971,0.0008881092071533203,
2,0.0948905109489051,0.0009250640869140625, 0.09725989364447367,0.0009250640869140625,
5,0.0948905109489051,0.0008988380432128906, 0.09634748488534971,0.0008988380432128906,
2,0.0948905109489051,0.0007908344268798828, 0.09725989364447378,0.0007908344268798828,
2,0.0948905109489051,0.0007848739624023438, 0.09725989364447378,0.0007848739624023438,
6,0.0948905109489051,0.0008227825164794922, 0.09634748488534971,0.0008227825164794922,
1,0.08728710462287109,0.0008730888366699219, 0.08896179854208988,0.0008730888366699219,
4,0.0948905109489051,0.0009927749633789062, 0.09634748488534971,0.0009927749633789062,
3,0.0948905109489051,0.0009672641754150391, 0.09634748488534971,0.0009672641754150391,
6,0.0948905109489051,0.0009138584136962891, 0.09634748488534971,0.0009138584136962891,
3,0.0948905109489051,0.0008513927459716797, 0.09634748488534983,0.0008513927459716797,
3,0.0948905109489051,0.0008080005645751953, 0.09634748488534971,0.0008080005645751953,
7,0.0948905109489051,0.0008120536804199219, 0.09634748488534971,0.0008120536804199219,
2,0.0948905109489051,0.0008192062377929688, 0.09725989364447378,0.0008192062377929688,
5,0.0948905109489051,0.0009093284606933594, 0.09634748488534957,0.0009093284606933594,
4,0.0948905109489051,0.0008385181427001953, 0.09634748488534971,0.0008385181427001953,
7,0.0948905109489051,0.0008664131164550781, 0.09634748488534971,0.0008664131164550781,
4,0.0948905109489051,0.0008842945098876953, 0.09634748488534971,0.0008842945098876953,
4,0.0948905109489051,0.0008044242858886719, 0.09634748488534971,0.0008044242858886719,
8,0.0948905109489051,0.0009810924530029297, 0.09634748488534971,0.0009810924530029297,
3,0.0948905109489051,0.0010025501251220703, 0.09634748488534971,0.0010025501251220703,
6,0.0948905109489051,0.0007925033569335938, 0.09634748488534971,0.0007925033569335938,
5,0.0948905109489051,0.0009441375732421875, 0.09634748488534971,0.0009441375732421875,
8,0.0948905109489051,0.0010256767272949219, 0.09634748488534971,0.0010256767272949219,
5,0.0948905109489051,0.0009245872497558594, 0.09634748488534971,0.0009245872497558594,
5,0.0948905109489051,0.0008120536804199219, 0.09634748488534971,0.0008120536804199219,
9,0.0948905109489051,0.0009527206420898438, 0.09634748488534971,0.0009527206420898438,
4,0.0948905109489051,0.0010573863983154297, 0.09634748488534971,0.0010573863983154297,
6,0.0948905109489051,0.0010204315185546875, 0.09634748488534971,0.0010204315185546875,
7,0.0948905109489051,0.001001596450805664, 0.09634748488534957,0.001001596450805664,
9,0.0948905109489051,0.001007080078125, 0.09634748488534971,0.001007080078125,
6,0.0948905109489051,0.0010066032409667969, 0.09634748488534957,0.0010066032409667969,
6,0.0948905109489051,0.0007424354553222656, 0.09634748488534971,0.0007424354553222656,
10,0.10792492179353497,0.000995635986328125, 0.10779272346334387,0.000995635986328125,
