k,regression_tree_noAudioPlayed_minimal_univariate_nmae,regression_tree_noAudioPlayed_minimal_univariate_training_time,random_forest_noAudioPlayed_minimal_univariate_nmae,random_forest_noAudioPlayed_minimal_univariate_training_time,
7,0.183046683046683,0.0006921291351318359, 0.18281748719248708,0.0006921291351318359,
4,0.18243243243243243,0.0006725788116455078, 0.18243243243243243,0.0006725788116455078,
8,0.183046683046683,0.0007143020629882812, 0.18281748719248714,0.0007143020629882812,
5,0.18243243243243243,0.0007607936859130859, 0.18243243243243243,0.0007607936859130859,
6,0.18243243243243243,0.0007522106170654297, 0.18243243243243243,0.0007522106170654297,
5,0.18243243243243243,0.000736236572265625, 0.18243243243243243,0.000736236572265625,
1,0.18243243243243243,0.0007448196411132812, 0.18243243243243243,0.0007448196411132812,
5,0.18243243243243243,0.0006897449493408203, 0.18243243243243243,0.0006897449493408203,
8,0.183046683046683,0.0007915496826171875, 0.18281748719248714,0.0007915496826171875,
9,0.183046683046683,0.0009467601776123047, 0.18281748719248714,0.0009467601776123047,
6,0.18243243243243243,0.0008251667022705078, 0.18243243243243243,0.0008251667022705078,
2,0.18243243243243243,0.0006506443023681641, 0.18243243243243243,0.0006506443023681641,
6,0.18243243243243243,0.0009722709655761719, 0.18243243243243243,0.0009722709655761719,
7,0.183046683046683,0.0009315013885498047, 0.18281748719248714,0.0009315013885498047,
6,0.18243243243243243,0.0009884834289550781, 0.18243243243243243,0.0009884834289550781,
9,0.183046683046683,0.0008878707885742188, 0.18281748719248714,0.0008878707885742188,
10,0.183046683046683,0.0007669925689697266, 0.18281748719248714,0.0007669925689697266,
7,0.183046683046683,0.0007221698760986328, 0.18281748719248714,0.0007221698760986328,
3,0.18243243243243243,0.0007042884826660156, 0.18243243243243243,0.0007042884826660156,
8,0.183046683046683,0.0009424686431884766, 0.18281748719248714,0.0009424686431884766,
7,0.183046683046683,0.0008382797241210938, 0.18281748719248708,0.0008382797241210938,
10,0.183046683046683,0.0008895397186279297, 0.18281748719248714,0.0008895397186279297,
7,0.183046683046683,0.0010290145874023438, 0.18281748719248714,0.0010290145874023438,
11,0.183046683046683,0.0009520053863525391, 0.18281748719248714,0.0009520053863525391,
8,0.183046683046683,0.0009665489196777344, 0.18281748719248714,0.0009665489196777344,
4,0.18243243243243243,0.0010564327239990234, 0.18243243243243243,0.0010564327239990234,
8,0.183046683046683,0.000762939453125, 0.18281748719248714,0.000762939453125,
9,0.183046683046683,0.0010724067687988281, 0.18281748719248714,0.0010724067687988281,
12,0.183046683046683,0.0007634162902832031, 0.18281748719248714,0.0007634162902832031,
11,0.183046683046683,0.0010676383972167969, 0.18281748719248714,0.0010676383972167969,
8,0.183046683046683,0.0010979175567626953, 0.18281748719248714,0.0010979175567626953,
9,0.183046683046683,0.0009043216705322266, 0.18281748719248714,0.0009043216705322266,
