,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.0,0.07254203144345325,5.313328266143799,0.04,3,0.03254203144345325
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.0,0.07254203144345325,5.313328266143799,0.04,2400,0.03254203144345325
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.0,0.07254203144345325,5.313328266143799,0.07,5,0.0025420314434532465
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.0,0.07254203144345325,5.313328266143799,0.07,9000,0.0025420314434532465
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.0,0.06191495747303205,5.340290546417236,0.04,7,0.02191495747303205
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.0,0.06191495747303205,5.340290546417236,0.04,5900,0.02191495747303205
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.0,0.06191495747303205,5.340290546417236,0.06,45,0.0019149574730320529
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.0,0.06191495747303205,5.340290546417236,0.06,4800,0.0019149574730320529
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.0,0.11687471237570314,0.7564442157745361,0.12,22,-0.0031252876242968547
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.0,0.11687471237570314,0.7564442157745361,0.11,1100,0.00687471237570314
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.0,0.11687471237570314,0.7564442157745361,0.11,3,0.00687471237570314
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.0,0.11687471237570314,0.7564442157745361,0.1,480,0.016874712375703135
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.0,0.1122503163118473,0.813298225402832,0.12,5,-0.007749683688152695
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.0,0.1122503163118473,0.813298225402832,0.11,1200,0.0022503163118473
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.0,0.1122503163118473,0.813298225402832,0.15,3,-0.037749683688152694
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.0,0.1122503163118473,0.813298225402832,0.14,790,-0.027749683688152713
