,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
0,0,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10449204317884017,0.5557718276977539
1,0,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09838720136880345,0.5557718276977539
2,1,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10375460683969498,0.595271110534668
3,1,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09844420071006409,0.595271110534668
4,2,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10765336638524144,0.6797382831573486
5,2,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09822068284479678,0.6797382831573486
6,3,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10271076846555584,0.6917705535888672
7,3,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09707965939541593,0.6917705535888672
8,4,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10644213944715739,0.581981897354126
9,4,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09818692022980774,0.581981897354126
10,5,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10300322495935607,0.7666261196136475
11,5,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09510018755853179,0.7666261196136475
12,6,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10486480916710059,0.6010255813598633
13,6,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09809716500653147,0.6010255813598633
14,7,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10775573619966074,0.6775527000427246
15,7,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.097806050531608,0.6775527000427246
16,8,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10602507128330184,0.7892589569091797
17,8,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09762131893314369,0.7892589569091797
18,9,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10129960502007382,0.5587000846862793
19,9,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09621825322212095,0.5587000846862793
20,10,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10274659053832717,0.5940275192260742
21,10,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.0956174682685498,0.5940275192260742
22,11,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10594920480762143,0.656989336013794
23,11,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09752613968009122,0.656989336013794
24,12,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10192533437459922,0.5637524127960205
25,12,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09644142402698203,0.5637524127960205
26,13,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10409508199186474,0.7070980072021484
27,13,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09510493639250231,0.7070980072021484
28,14,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.1067757645995661,0.5775713920593262
29,14,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09704839051618087,0.5775713920593262
30,15,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10551558622535592,0.6073720455169678
31,15,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09717841923772026,0.6073720455169678
32,16,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10215245407183987,0.7198779582977295
33,16,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09525368817247448,0.7198779582977295
34,17,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10438106625566451,0.6635143756866455
35,17,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09728689367173235,0.6635143756866455
36,0,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2926125828796891,0.9473397731781006
37,0,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22865009561651128,0.9473397731781006
38,1,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.27787043142122064,0.8125052452087402
