,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,reg_tree,FlashcrowdLoad,SingleApp,2.5,0.054022032463660524,2.810862183570862,0.02,140,0.03402203246366052
1,KV,ReadsAvg,reg_tree,FlashcrowdLoad,SingleApp,2.5,0.054022032463660524,2.810862183570862,0.02,32000,0.03402203246366052
2,KV,ReadsAvg,reg_tree,FlashcrowdLoad,SingleApp,2.5,0.054022032463660524,2.810862183570862,0.04,130,0.014022032463660523
3,KV,ReadsAvg,reg_tree,FlashcrowdLoad,SingleApp,2.5,0.054022032463660524,2.810862183570862,0.03,54000,0.024022032463660525
4,KV,ReadsAvg,reg_tree,PeriodicLoad,SingleApp,2.5,0.061672044028583846,4.4751700560251875,0.03,310,0.03167204402858385
5,KV,ReadsAvg,reg_tree,PeriodicLoad,SingleApp,2.5,0.061672044028583846,4.4751700560251875,0.02,32000,0.04167204402858385
6,KV,ReadsAvg,reg_tree,PeriodicLoad,SingleApp,2.5,0.061672044028583846,4.4751700560251875,0.04,170,0.021672044028583845
7,KV,ReadsAvg,reg_tree,PeriodicLoad,SingleApp,2.5,0.061672044028583846,4.4751700560251875,0.04,54000,0.021672044028583845
8,KV,WritesAvg,random_forest,FlashcrowdLoad,BothApps,2.5,0.06817794431349511,55.56843443711599,0.02,110,0.048177944313495105
9,KV,WritesAvg,random_forest,FlashcrowdLoad,BothApps,2.5,0.06817794431349511,55.56843443711599,0.02,34000,0.048177944313495105
10,KV,WritesAvg,random_forest,FlashcrowdLoad,BothApps,2.5,0.06817794431349511,55.56843443711599,0.04,110,0.028177944313495108
11,KV,WritesAvg,random_forest,FlashcrowdLoad,BothApps,2.5,0.06817794431349511,55.56843443711599,0.03,55000,0.03817794431349511
12,KV,WritesAvg,random_forest,PeriodicLoad,BothApps,2.5,0.06226831842797457,54.531822164853416,0.03,320,0.03226831842797457
13,KV,WritesAvg,random_forest,PeriodicLoad,BothApps,2.5,0.06226831842797457,54.531822164853416,0.02,32000,0.04226831842797457
14,KV,WritesAvg,random_forest,PeriodicLoad,BothApps,2.5,0.06226831842797457,54.531822164853416,0.05,190,0.012268318427974566
15,KV,WritesAvg,random_forest,PeriodicLoad,BothApps,2.5,0.06226831842797457,54.531822164853416,0.04,54000,0.022268318427974568
