,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
0,0,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.1000459444391051,5.324865102767944
1,0,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.07254203144345325,57.05915975570679
2,1,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.09385878448866672,5.444619655609131
3,1,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.07057460242933306,54.87393307685852
4,2,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.0898459231138774,5.442515134811401
5,2,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.06944284688766444,60.07278347015381
6,3,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.0917682785017188,5.350511789321899
7,3,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.07057426770210935,54.11095333099365
8,4,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.09120739680982985,6.10810923576355
9,4,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.07027074750168309,55.13172960281372
10,5,FlashcrowdLoad,BothApps,reg_tree,KV,ReadsAvg,0.09466995746953953,6.03366756439209
11,5,FlashcrowdLoad,BothApps,random_forest,KV,ReadsAvg,0.07183543647217239,55.72660827636719
12,0,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.09248107323334886,5.927029371261597
13,0,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06904183664706631,55.93783783912659
14,1,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.09017707644349561,5.294882774353027
15,1,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06719051017914249,55.34753346443176
16,2,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.08816161752173066,5.813997983932495
17,2,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06792659699153097,56.03897500038147
18,3,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.08809278682043549,5.358175992965698
19,3,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06854857378558943,57.02667045593262
20,4,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.09044202409788447,5.317301988601685
21,4,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06688524852579618,55.614540576934814
22,5,FlashcrowdLoad,BothApps,reg_tree,KV,WritesAvg,0.0931378897265989,5.798015117645264
23,5,FlashcrowdLoad,BothApps,random_forest,KV,WritesAvg,0.06947489975184527,53.44504928588867
24,0,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.08436349545471748,5.291794776916504
25,0,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.061914957473032044,56.36260795593262
26,1,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.08659944198769708,5.9485907554626465
27,1,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.06315707853286193,55.00152564048767
28,2,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.08661016812266122,5.599380970001221
29,2,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.06341657420413876,55.17847776412964
30,3,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.08334973441164004,5.448504686355591
31,3,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.06203615265599632,56.86662769317627
32,4,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.0870992868789789,5.8982133865356445
33,4,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.06309827302736426,55.50455284118652
34,5,PeriodicLoad,BothApps,reg_tree,KV,ReadsAvg,0.08420125908943824,5.750285387039185
35,5,PeriodicLoad,BothApps,random_forest,KV,ReadsAvg,0.061909312482324536,56.74222016334534
36,0,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08342309577556122,5.209823369979858
37,0,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.06147500869744422,53.34898352622986
38,1,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08561291888467891,5.46724271774292
39,1,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.06313614670000639,53.44861459732056
40,2,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08449939808594281,5.944268703460693
41,2,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.06320121827985328,57.91533088684082
42,3,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08505211517461926,5.1224000453948975
43,3,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.062132426270876964,53.83494472503662
44,4,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08480094101491073,5.055943489074707
45,4,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.06260587785249838,54.92792010307312
46,5,PeriodicLoad,BothApps,reg_tree,KV,WritesAvg,0.08298833729663134,5.484839677810669
47,5,PeriodicLoad,BothApps,random_forest,KV,WritesAvg,0.06105923276716821,53.71513915061951
48,0,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.05497684783255556,2.6829946041107178
49,0,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.04059335396781488,28.042587995529175
50,1,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.05449283835030255,3.188149929046631
51,1,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.040802344408692987,28.403647661209106
52,2,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.05429752772851493,2.750464677810669
53,2,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.04101757417311505,27.79768705368042
54,3,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.054201977116021066,2.762456178665161
55,3,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.04082935134261038,28.055967807769775
56,4,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.05313246704645861,2.8462860584259033
57,4,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.0398075215948894,30.957552671432495
58,5,FlashcrowdLoad,SingleApp,reg_tree,KV,ReadsAvg,0.05303053670811042,2.634821653366089
59,5,FlashcrowdLoad,SingleApp,random_forest,KV,ReadsAvg,0.040446367954485085,29.69231915473938
60,0,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05579295457827327,2.7639834880828857
61,0,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.04264359841186274,27.64894151687622
62,1,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05846791639931105,2.8016510009765625
63,1,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.042933081597277205,30.422755002975464
64,2,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05617351691857518,2.865168809890747
65,2,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.0428043565867201,29.43725323677063
66,3,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05850907213102486,2.8694889545440674
67,3,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.04302145713774323,30.30459713935852
68,4,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05617349281734386,3.0226216316223145
69,4,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.04217724042842407,28.162569522857666
70,5,FlashcrowdLoad,SingleApp,reg_tree,KV,WritesAvg,0.05650628027899011,2.6181395053863525
71,5,FlashcrowdLoad,SingleApp,random_forest,KV,WritesAvg,0.04266943668399186,30.612902402877808
72,0,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.061433584387763855,4.574812412261963
73,0,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.04433643829251812,46.515244245529175
74,1,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.061911333778145464,4.3536217212677
75,1,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.04471504095354378,44.070862770080566
76,2,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.06218065219410501,4.4779274463653564
77,2,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.04417141150570252,49.163655281066895
78,3,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.061863377447821985,4.602988004684448
79,3,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.04429713525446921,47.187906980514526
80,4,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.06209269594802097,4.432258129119873
81,4,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.04469309965846682,46.09627056121826
82,5,PeriodicLoad,SingleApp,reg_tree,KV,ReadsAvg,0.060550620415645816,4.409412622451782
83,5,PeriodicLoad,SingleApp,random_forest,KV,ReadsAvg,0.044446454164040264,46.76594591140747
84,0,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.06554367667033544,4.756577014923096
85,0,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.046933936150844034,47.673057317733765
86,1,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.06399812861276037,4.550492525100708
87,1,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.0468056616927955,45.039745569229126
88,2,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.0651872178794962,4.949108600616455
89,2,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.04652326900699466,44.876118421554565
90,3,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.06337239478102788,4.433475971221924
91,3,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.04676831624216182,44.94585943222046
92,4,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.06461668171218891,4.774720191955566
93,4,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.04718826856155128,50.117892265319824
94,5,PeriodicLoad,SingleApp,reg_tree,KV,WritesAvg,0.06360025872675194,4.744394063949585
95,5,PeriodicLoad,SingleApp,random_forest,KV,WritesAvg,0.046449016109843456,49.951355934143066
