,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,42.0,0.031131541460855543,54.55428457260132,0.02,15,0.011131541460855543
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,42.0,0.031131541460855543,54.55428457260132,0.02,2400,0.011131541460855543
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,42.0,0.031131541460855543,54.55428457260132,0.04,10,-0.008868458539144457
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,42.0,0.031131541460855543,54.55428457260132,0.03,7600,0.0011315414608555445
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,42.0,0.04395377892947336,71.67208194732666,0.03,17,0.01395377892947336
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,42.0,0.04395377892947336,71.67208194732666,0.02,4600,0.023953778929473358
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,42.0,0.04395377892947336,71.67208194732666,0.05,13,-0.0060462210705266445
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,42.0,0.04395377892947336,71.67208194732666,0.04,3900,0.0039537789294733575
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,42.0,0.10824048301437975,7.537405729293823,0.11,85,-0.0017595169856202547
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,42.0,0.10824048301437975,7.537405729293823,0.1,3800,0.00824048301437974
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,42.0,0.10824048301437975,7.537405729293823,0.11,15,-0.0017595169856202547
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,42.0,0.10824048301437975,7.537405729293823,0.1,3100,0.00824048301437974
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,42.0,0.10964205617313438,7.411362171173096,0.11,16,-0.0003579438268656171
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,42.0,0.10964205617313438,7.411362171173096,0.11,4200,-0.0003579438268656171
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,42.0,0.10964205617313438,7.411362171173096,0.15,14,-0.04035794382686561
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,42.0,0.10964205617313438,7.411362171173096,0.14,3400,-0.03035794382686563
