,trace_family,y_metric,regression_method,load_pattern,exp_type,random_state,nmae,training_time,nmae_original,training_time_original,delta_to_original_nmae
0,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.5,0.03105703492668873,4.962664484977722,0.02,1,0.01105703492668873
1,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.5,0.03105703492668873,4.962664484977722,0.02,16,0.01105703492668873
2,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.5,0.03105703492668873,4.962664484977722,0.04,1,-0.008942965073311271
3,KV,ReadsAvg,random_forest,FlashcrowdLoad,BothApps,0.5,0.03105703492668873,4.962664484977722,0.06,11,-0.028942965073311268
4,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.5,0.04398858195325012,10.116575121879578,0.02,1,0.023988581953250116
5,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.5,0.04398858195325012,10.116575121879578,0.02,32,0.023988581953250116
6,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.5,0.04398858195325012,10.116575121879578,0.04,1,0.003988581953250116
7,KV,ReadsAvg,random_forest,PeriodicLoad,BothApps,0.5,0.04398858195325012,10.116575121879578,0.04,30,0.003988581953250116
8,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.5,0.10645612256598669,0.2911449670791626,0.11,1,-0.0035438774340133122
9,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.5,0.10645612256598669,0.2911449670791626,0.09,37,0.01645612256598669
10,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.5,0.10645612256598669,0.2911449670791626,0.1,1,0.006456122565986683
11,VoD,DispFrames,reg_tree,FlashcrowdLoad,SingleApp,0.5,0.10645612256598669,0.2911449670791626,0.06,24,0.04645612256598669
12,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.5,0.1132374577539269,0.18592619895935059,0.14,1,-0.026762542246073107
13,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.5,0.1132374577539269,0.18592619895935059,0.11,40,0.003237457753926906
14,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.5,0.1132374577539269,0.18592619895935059,0.12,1,-0.006762542246073089
15,VoD,DispFrames,reg_tree,PeriodicLoad,SingleApp,0.5,0.1132374577539269,0.18592619895935059,0.11,38,0.003237457753926906
