,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,switch,nmae
0,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWC1,0.13194033415366085
1,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWC1,0.1282974597146177
2,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWC2,0.14379256134835375
3,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWC2,0.14372153367888835
4,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWC3,0.14379256134835375
5,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWC3,0.14372153367888824
6,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWC4,0.1437306384973187
7,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWC4,0.14365256908173968
8,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA1,0.1314211395283636
9,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA1,0.12863529620630257
10,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA2,0.1293547449196806
11,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA2,0.12766048594309395
12,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA3,0.14379256134835375
13,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA3,0.14372153367888824
14,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA4,0.1437935137027577
15,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA4,0.14372220302819716
16,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA5,0.13541893814315234
17,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA5,0.13483064262779068
18,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWA6,0.14379256134835375
19,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWA6,0.14372153367888824
20,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWB1,0.14235797431024994
21,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWB1,0.14079943682629348
22,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWB2,0.1342221945318422
23,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWB2,0.13165017023608852
24,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWB3,0.1300141220938081
25,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWB3,0.12626814605818376
26,42,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,SWB4,0.13057485228912913
27,42,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,SWB4,0.1268132513281905
28,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC1,0.34540730327938207
29,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC1,0.3239676101732358
30,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC2,0.328420570989606
31,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC2,0.3282447252252442
32,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC3,0.328420570989606
33,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC3,0.3282447252252442
34,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC4,0.3283406367036278
35,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC4,0.32816324120333434
36,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA1,0.34737434675934065
37,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA1,0.32834220952438803
38,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA2,0.3421451674834209
39,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA2,0.3245565960088099
40,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA3,0.328420570989606
41,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA3,0.3282447252252442
42,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA4,0.32844069871617476
43,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA4,0.3282687657500187
44,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA5,0.3608600107165093
45,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA5,0.3452184457864357
46,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA6,0.328420570989606
47,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA6,0.3282447252252442
48,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB1,0.3748690264680425
49,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB1,0.35783612326024156
50,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB2,0.3422395335064462
51,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB2,0.32761269999908244
52,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB3,0.33852997260131334
53,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB3,0.3182120292519693
54,42,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWB4,0.3441033786755101
55,42,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,SWB4,0.32284473364303357
56,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWC1,0.19011853035863033
57,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWC1,0.18307812249298439
58,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWC2,0.18433920354262784
59,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWC2,0.1842368416370175
60,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWC3,0.18433920354262784
61,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWC3,0.1842368416370174
62,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWC4,0.1844142174841572
63,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWC4,0.1842919403926856
64,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA1,0.17687532362277406
65,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA1,0.17259962790751276
66,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA2,0.1684555032756253
67,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA2,0.1663164234813121
68,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA3,0.18433920354262784
69,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA3,0.1842368416370175
70,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA4,0.18434122164727074
71,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA4,0.18423870368239115
72,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA5,0.18955007992075462
73,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA5,0.18427829932636433
74,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWA6,0.18433920354262784
75,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWA6,0.1842368416370174
76,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWB1,0.1834125036583444
77,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWB1,0.17931336705889123
78,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWB2,0.18057869380220176
79,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWB2,0.1730018480967259
80,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWB3,0.18762804205407593
81,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWB3,0.1833984656550697
82,42,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,SWB4,0.18028321213894954
83,42,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,SWB4,0.17311114198511765
84,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC1,0.525303011597592
85,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC1,0.48607104133086604
86,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC2,0.43092349708590744
87,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC2,0.4308563764062247
88,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC3,0.43092349708590744
89,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC3,0.4308563764062247
90,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWC4,0.4308772858366074
91,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWC4,0.4307897271205038
92,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA1,0.5014487912215598
93,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA1,0.4653440856817331
94,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA2,0.47716429074589145
95,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA2,0.4467099814507809
96,42,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,SWA3,0.43092349708590744
97,42,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,SWA3,0.4308563764062248
