,random_state,load_pattern,exp_type,regression_method,trace_family,y_metric,nmae,training_time
0,0,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10505160257762469,0.5547537803649902
1,0,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09838720136880345,5.827799081802368
2,1,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10170134683460082,0.5707957744598389
3,1,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09844420071006409,6.516736268997192
4,2,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10699474834221863,0.5426812171936035
5,2,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09822068284479678,5.8291380405426025
6,3,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10245171184614109,0.5569415092468262
7,3,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09707965939541593,5.7744057178497314
8,4,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10733283735039238,0.580935001373291
9,4,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09818692022980774,6.14891505241394
10,5,FlashcrowdLoad,BothApps,reg_tree,VoD,DispFrames,0.10190340464830831,0.54160475730896
11,5,FlashcrowdLoad,BothApps,random_forest,VoD,DispFrames,0.09510018755853179,6.255865573883057
12,0,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.29017254550039306,0.7393653392791748
13,0,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22865009561651128,8.175882816314697
14,1,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2805498455054364,0.7686991691589355
15,1,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.23505580612055804,9.056631803512573
16,2,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.28884679915154043,0.8294765949249268
17,2,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2286060399597525,8.484525442123413
18,3,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2819877347081867,0.7542068958282471
19,3,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2275207480922577,8.226178646087646
20,4,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.2866661734526482,0.7592344284057617
21,4,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.2315485289603699,8.115103006362915
22,5,FlashcrowdLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.27628948524456554,0.764385461807251
23,5,FlashcrowdLoad,BothApps,random_forest,VoD,noAudioPlayed,0.22280701058553715,8.313617467880249
24,0,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15452982394822737,0.5783264636993408
25,0,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14701777615128772,6.189885139465332
26,1,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15315497053228347,0.5661962032318115
27,1,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14645832045359866,6.242053270339966
28,2,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1566461602656998,0.558124303817749
29,2,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14622888721104768,6.211273431777954
30,3,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1596811951261891,0.5727124214172363
31,3,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14809684904369336,5.987560749053955
32,4,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.15785715053056606,0.5589275360107422
33,4,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.14749413869533193,6.0797224044799805
34,5,PeriodicLoad,BothApps,reg_tree,VoD,DispFrames,0.1563302531876036,0.5477602481842041
35,5,PeriodicLoad,BothApps,random_forest,VoD,DispFrames,0.1471150181822353,6.478734970092773
36,0,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4380880850157255,0.7749686241149902
37,0,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.342938808026814,8.780160427093506
38,1,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44092835932121516,0.7652132511138916
39,1,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33920970841584197,8.730180025100708
40,2,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44919263817082944,0.7281689643859863
41,2,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3400856289054126,8.134241342544556
42,3,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4467777691764571,0.7637107372283936
43,3,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.3416797054300601,7.9934446811676025
44,4,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.4376216161167952,0.7295613288879395
45,4,PeriodicLoad,BothApps,random_forest,VoD,noAudioPlayed,0.33582616143547356,8.722448587417603
46,5,PeriodicLoad,BothApps,reg_tree,VoD,noAudioPlayed,0.44092287746793535,0.8020279407501221
