TimeStamp,0_kbmemfree,0_kbmemused,0_X..memused,0_kbbuffers,0_kbcached,0_kbactive,0_kbinact,0_kbdirty,0_kbswpfree,0_kbswpused,0_kbswpcad,0_X..swpcad,0_dentunusd,0_inode.nr,0_plist.sz,0_ldavg.5,0_temp1_degC,0_temp1_.temp,0_temp2_degC,0_temp2_.temp,0_temp3_degC,0_temp3_.temp,0_temp4_degC,0_temp4_.temp,0_X.dev.mapper.cloud..2.root_MBfsfree,0_X.dev.mapper.cloud..2.root_MBfsused,1_kbmemfree,1_kbmemused,1_X..memused,1_kbbuffers,1_kbcached,1_kbactive,1_kbinact,1_dentunusd,1_inode.nr,1_ldavg.5,1_ldavg.15,1_X.dev.mapper.cloud..3.root_MBfsfree,1_X.dev.mapper.cloud..3.root_MBfsused,1_X.dev.mapper.cloud..3.root_.fsused,2_sum_intr.s,2_i140_intr.s,2_kbmemfree,2_kbmemused,2_X..memused,2_kbbuffers,2_kbcached,2_kbcommit,2_X..commit,2_kbactive,2_file.nr,2_runq.sz,2_plist.sz,2_ldavg.1,2_ldavg.5,2_ldavg.15,2_totsck,2_tcpsck,2_irec.s,2_idel.s,2_iseg.s,2_temp1_degC,2_temp1_.temp,2_temp2_degC,2_temp2_.temp,2_temp3_degC,2_temp3_.temp,2_temp4_degC,2_temp4_.temp,2_X.dev.mapper.cloud..7.root_MBfsfree,2_X.dev.mapper.cloud..7.root_MBfsused,2_X.dev.mapper.cloud..7.root_.fsused,2_X.dev.mapper.cloud..7.root_.ufsused,2_X.dev.mapper.cloud..7.root_Ifree,2_X.dev.mapper.cloud..7.root_Iused,3_all_..soft,3_cpu13_.sys,3_cpu13_.soft,3_cswch.s,3_sum_intr.s,3_i127_intr.s,3_i128_intr.s,3_i129_intr.s,3_i130_intr.s,3_i131_intr.s,3_i132_intr.s,3_i133_intr.s,3_kbmemfree,3_kbmemused,3_X..memused,3_kbbuffers,3_kbcached,3_kbcommit,3_X..commit,3_kbactive,3_kbdirty,3_file.nr,3_runq.sz,3_plist.sz,3_ldavg.1,3_ldavg.5,3_ldavg.15,3_eth1_rxpck.s,3_eth1_txpck.s,3_eth1_txkB.s,3_totsck,3_tcpsck,3_irec.s,3_idel.s,3_orq.s,3_iseg.s,3_oseg.s,3_temp1_degC,3_temp1_.temp,3_temp2_degC,3_temp2_.temp,3_temp3_degC,3_temp3_.temp,3_temp4_degC,3_temp4_.temp,3_X.dev.mapper.cloud..8.root_MBfsfree,3_X.dev.mapper.cloud..8.root_MBfsused,3_X.dev.mapper.cloud..8.root_.fsused,3_X.dev.mapper.cloud..8.root_.ufsused,3_X.dev.mapper.cloud..8.root_Ifree,3_X.dev.mapper.cloud..8.root_Iused,4_cpu0_.usr,4_cpu0_.idle,4_cpu2_.usr,4_cpu2_.idle,4_cpu4_.idle,4_cpu8_.idle,4_cpu10_.usr,4_sum_intr.s,4_kbmemfree,4_kbmemused,4_X..memused,4_kbbuffers,4_kbcached,4_kbcommit,4_X..commit,4_kbactive,4_kbinact,4_file.nr,4_runq.sz,4_plist.sz,4_ldavg.1,4_ldavg.5,4_ldavg.15,4_totsck,4_tcpsck,4_tcp.tw,4_irec.s,4_idel.s,4_iseg.s,4_temp1_degC,4_temp1_.temp,4_temp2_degC,4_temp2_.temp,4_temp3_degC,4_temp3_.temp,4_temp4_degC,4_temp4_.temp,4_X.dev.mapper.cloud..9.root_MBfsfree,4_X.dev.mapper.cloud..9.root_MBfsused,4_X.dev.mapper.cloud..9.root_.fsused,4_X.dev.mapper.cloud..9.root_.ufsused,4_X.dev.mapper.cloud..9.root_Ifree,4_X.dev.mapper.cloud..9.root_Iused,5_all_..idle,5_sum_intr.s,5_i136_intr.s,5_i137_intr.s,5_i138_intr.s,5_i139_intr.s,5_i140_intr.s,5_i141_intr.s,5_i142_intr.s,5_kbmemfree,5_kbmemused,5_X..memused,5_kbbuffers,5_kbcached,5_kbcommit,5_X..commit,5_kbactive,5_kbinact,5_kbdirty,5_kbswpfree,5_kbswpused,5_kbswpcad,5_X..swpcad,5_dentunusd,5_inode.nr,5_plist.sz,5_eth1_rxpck.s,5_eth1_txpck.s,5_eth1_txkB.s,5_totsck,5_tcpsck,5_irec.s,5_idel.s,5_orq.s,5_iseg.s,5_oseg.s,5_temp1_degC,5_temp1_.temp,5_temp2_degC,5_temp2_.temp,5_temp3_degC,5_temp3_.temp,5_temp4_degC,5_temp4_.temp,5_X.dev.mapper.cloud..5.root_MBfsfree,5_X.dev.mapper.cloud..5.root_MBfsused,5_X.dev.mapper.cloud..5.root_.fsused,1_RxPacktes,1_RxBytes,4_RxPacktes,4_RxBytes,5_RxPacktes,5_RxBytes,6_RxPacktes,6_RxBytes,0_TxPacktes,0_TxBytes,1_RxPacktes,1_RxBytes,4_RxPacktes,4_RxBytes,5_RxPacktes,5_TxPacktes,5_RxBytes,5_TxBytes,6_RxPacktes,6_TxPacktes,6_RxBytes,15_RxPacktes,15_RxBytes,17_TxPacktes,17_TxBytes,20_TxPacktes,20_TxBytes,21_RxPacktes,21_RxBytes,22_RxPacktes,22_TxPacktes,22_RxBytes,22_TxBytes,23_RxPacktes,23_TxPacktes,23_RxBytes,23_TxBytes,24_RxPacktes,24_TxPacktes,24_RxBytes,25_RxPacktes,25_TxPacktes,25_RxBytes,25_TxBytes,29_RxPacktes,29_RxBytes,30_TxPacktes,30_TxBytes,31_RxPacktes,31_RxBytes,32_TxPacktes,32_TxBytes,34_RxPacktes,34_RxBytes,35_RxPacktes,35_TxPacktes,35_RxBytes,35_TxBytes,36_RxPacktes,36_TxPacktes,36_TxBytes,37_RxPacktes,37_TxPacktes,37_RxBytes,37_TxBytes,38_RxPacktes,38_TxPacktes,38_RxBytes,40_TxPacktes,40_TxBytes,41_RxPacktes,41_RxBytes,42_TxPacktes,42_TxBytes,43_RxPacktes,43_RxBytes
1479409722,38283968,27679520,41.96,188948,26150836,14784836,11645780,360,66900716,195856,39908,20.38,78643,93634,487,0.14,23.0,32.86,23.0,32.86,23.5,33.57,23.5,33.57,197258,207283,36533676,29429812,44.62,110152,27840196,16435392,11619372,101015,131620,0.09,0.12,178356,226185,55.91,1400.0,49.5,38059704,27903784,42.3,144184,26198356,691404,0.52,16422076,1200,0,437,1.16,25.1,44.28,282,14,98.02,98.02,97.03,20.5,29.29,20.5,29.29,22.0,31.43,22.0,31.43,217772,186769,46.17,51.25,25942725,369979,0.0,0.0,0.0,15111.0,2731.0,100.0,1.0,51.0,3.0,44.0,0.0,0.0,40347300,25617820,38.84,224404,23503784,1859432,1.4,15604696,308,2880,0,485,1.31,23.04,43.37,99.0,104.0,26.88,381,19,99.0,99.0,105.0,99.0,105.0,23.5,33.57,22.5,32.14,24.0,34.29,24.0,34.29,277904,126765,31.33,36.41,25874354,438350,33.7,53.26,37.37,45.45,44.9,42.27,31.25,66876.0,35313780,30649708,46.46,185124,28024196,2370928,1.78,18030028,10912984,3504,16,689,6.99,32.78,49.71,477,15,0,515.0,515.0,515.0,36.0,51.43,36.0,51.43,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.83,2302.0,104.0,89.0,1.0,2.0,6.0,3.0,139.0,36943064,29020424,43.99,141480,27493088,625240,0.47,16639180,11078260,324,67030392,66180,11220,16.95,93550,90275,448,399.0,746.0,960.9,330,31,166.0,166.0,279.0,167.0,670.0,21.12,30.18,21.12,30.18,19.5,27.86,19.62,28.04,81430,323111,79.87,0,0,13,858,0,0,0,0,13,858,0,0,13,858,0,0,0,0,0,0,0,14,924,14,924,12,792,12,792,0,0,0,0,0,0,0,0,9,10,1430,10,9,756,1430,15,990,14,924,0,0,0,0,14,924,0,0,0,0,69,14,924,10,9,756,1430,9,10,1430,13,858,13,858,0,0,0,0
1479409723,38282528,27680960,41.96,188948,26153340,14785404,11647544,388,66900716,195856,39908,20.38,78643,93634,487,0.14,22.5,32.14,22.5,32.14,23.5,33.57,23.5,33.57,197258,207283,36533660,29429828,44.62,110152,27840252,16435408,11619384,101015,131620,0.09,0.12,178356,226185,55.91,687.0,52.0,38060252,27903236,42.3,144184,26198388,691404,0.52,16422224,1200,0,437,1.16,25.1,44.28,282,14,101.0,101.0,100.0,20.5,29.29,20.5,29.29,22.5,32.14,22.5,32.14,217772,186769,46.17,51.25,25942725,369979,0.0,0.0,0.0,11376.0,2137.0,93.0,0.0,51.0,1.0,48.0,0.0,0.0,40347796,25617324,38.83,224404,23503812,1859432,1.4,15604700,336,2880,0,485,1.31,23.04,43.37,98.0,104.0,26.88,381,19,98.0,98.0,103.0,98.0,103.0,23.5,33.57,22.5,32.14,24.0,34.29,24.0,34.29,277904,126765,31.33,36.41,25874354,438350,43.88,41.84,33.0,49.0,42.57,54.55,31.63,24095.0,35266088,30697400,46.54,185124,28026100,2413128,1.81,18026788,10914240,3504,14,689,6.99,32.78,49.71,477,15,0,515.0,515.0,515.0,36.0,51.43,36.0,51.43,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.87,714.0,36.0,93.0,3.0,1.0,0.0,6.0,116.0,36943940,29019548,43.99,141480,27493120,625240,0.47,16639128,11078272,356,67030392,66180,11220,16.95,93550,90274,448,521.0,441.0,446.16,329,30,143.0,143.0,167.0,143.0,265.0,22.0,31.43,22.0,31.43,19.0,27.14,19.5,27.86,81430,323111,79.87,10,1596,10,660,0,0,0,0,19,2190,10,1596,10,660,0,0,0,0,0,0,0,9,594,9,594,20,2256,20,2256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,660,11,726,0,0,0,0,20,2256,0,0,0,0,43,20,2256,0,0,0,0,0,0,0,9,594,10,654,0,0,0,0
1479409724,38280172,27683316,41.97,188948,26156308,14786108,11649872,416,66900716,195856,39908,20.38,78643,93634,487,0.14,22.5,32.14,22.5,32.14,23.5,33.57,23.5,33.57,197258,207283,36533728,29429760,44.62,110152,27840284,16435424,11619396,101015,131620,0.09,0.12,178356,226185,55.91,1788.0,51.0,38060960,27902528,42.3,144184,26198416,691404,0.52,16422256,1200,0,437,1.07,24.69,44.05,282,14,99.0,99.0,98.0,20.5,29.29,20.5,29.29,22.5,32.14,22.5,32.14,217772,186769,46.17,51.25,25942725,369979,0.0,0.0,0.0,15435.0,3045.0,94.0,1.0,53.0,1.0,44.0,0.0,0.0,40348924,25616196,38.83,224404,23503812,1859832,1.4,15604768,336,2880,0,485,1.31,23.04,43.37,99.0,104.0,26.88,381,19,100.0,100.0,104.0,100.0,104.0,23.25,33.21,22.5,32.14,24.0,34.29,24.0,34.29,277904,126765,31.33,36.41,25874354,438350,38.78,48.98,47.42,40.21,47.0,50.0,35.42,21259.0,35225192,30738296,46.6,185124,28027896,2370984,1.78,18027544,10915176,3504,9,689,6.99,32.78,49.71,477,15,0,433.0,433.0,433.0,36.5,52.14,36.5,52.14,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.92,575.0,17.0,50.0,4.0,0.0,3.0,0.0,66.0,36944048,29019440,43.99,141480,27493152,625240,0.47,16639160,11078284,332,67030392,66180,11220,16.95,93550,90274,448,378.0,202.0,161.0,329,30,89.0,89.0,106.0,88.0,155.0,21.62,30.89,21.62,30.89,19.25,27.5,19.5,27.86,81430,323111,79.87,0,0,10,660,0,0,0,0,11,726,0,0,10,660,0,0,0,0,0,0,0,11,726,11,726,10,660,10,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,660,10,660,10,1596,10,1596,11,726,0,0,0,0,28,10,660,0,0,0,0,0,0,0,11,726,11,726,10,1596,10,1596
1479409725,38276788,27686700,41.97,188948,26159024,14786592,11651992,444,66900716,195856,39908,20.38,78643,93634,487,0.14,22.5,32.14,22.5,32.14,23.5,33.57,23.5,33.57,197258,207283,36533976,29429512,44.61,110152,27840312,16435444,11619408,101015,131620,0.09,0.12,178356,226185,55.91,1235.0,51.0,38061100,27902388,42.3,144184,26198444,691404,0.52,16422304,1200,0,437,1.07,24.69,44.05,282,14,99.0,99.0,98.0,20.5,29.29,20.5,29.29,22.5,32.14,22.5,32.14,217772,186769,46.17,51.25,25942725,369979,0.0,1.0,0.0,9478.0,1676.0,98.0,0.0,50.0,1.0,46.0,0.0,0.0,40348676,25616444,38.83,224404,23503872,1859832,1.4,15604716,396,2880,0,485,1.31,23.04,43.37,98.0,101.0,26.68,381,19,98.0,98.0,102.0,98.0,102.0,23.0,32.86,22.0,31.43,24.0,34.29,24.0,34.29,277904,126765,31.33,36.41,25874354,438350,41.0,44.0,41.41,45.45,39.8,39.6,42.57,22127.0,35253316,30710172,46.56,185124,28030044,2413152,1.81,18028720,10916184,3504,15,689,6.99,32.78,49.71,477,15,0,598.0,598.0,598.0,36.5,52.14,36.5,52.14,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.92,808.0,14.0,109.0,0.0,3.0,3.0,3.0,101.0,36943384,29020104,43.99,141480,27493184,625240,0.47,16639180,11078296,364,67030392,66180,11220,16.95,93550,90274,448,331.0,130.0,69.82,329,30,157.0,157.0,167.0,157.0,196.0,21.75,31.07,21.75,31.07,19.5,27.86,19.5,27.86,81430,323111,79.87,0,0,29,2095,0,0,0,0,28,2029,0,0,29,2095,0,0,0,0,0,0,0,11,907,11,907,13,1039,13,1039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,973,12,973,0,0,0,0,11,907,0,0,0,0,31,12,973,0,0,0,0,0,0,0,28,2029,30,2393,0,0,0,0
1479409726,38272760,27690728,41.98,188952,26162328,14786980,11654728,532,66900716,195856,39908,20.38,78643,93634,487,0.14,22.88,32.68,22.12,31.61,23.88,34.11,23.88,34.11,197258,207283,36534128,29429360,44.61,110160,27840336,16435460,11619420,101015,131620,0.09,0.12,178356,226185,55.91,1567.0,51.0,38061220,27902268,42.3,144184,26198476,691404,0.52,16422340,1200,0,437,1.07,24.69,44.05,282,14,100.0,100.0,98.0,20.38,29.11,20.0,28.57,22.0,31.43,22.0,31.43,217772,186769,46.17,51.25,25942725,369979,0.0,0.0,0.0,14548.0,2443.0,95.0,0.0,54.0,1.0,44.0,0.0,0.0,40348604,25616516,38.83,224404,23503872,1859832,1.4,15604768,396,2880,0,485,1.31,23.04,43.37,98.0,102.0,26.74,381,19,98.0,98.0,102.0,98.0,102.0,23.25,33.21,22.0,31.43,23.5,33.57,23.5,33.57,277904,126765,31.33,36.41,25874354,438350,48.45,40.21,40.21,43.3,40.0,36.08,46.94,33806.0,35225280,30738208,46.6,185124,28031312,2434244,1.83,18031112,10916260,3504,15,689,7.63,32.49,49.53,477,15,0,555.0,555.0,555.0,36.5,52.14,36.5,52.14,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.75,2264.0,16.0,107.0,0.0,0.0,0.0,6.0,109.0,36942824,29020664,44.0,141480,27493248,625240,0.47,16639216,11078328,124,67030392,66180,11220,16.95,93550,90274,448,769.0,216.0,70.04,329,30,143.0,143.0,154.0,142.0,167.0,22.0,31.43,22.0,31.43,19.0,27.14,19.88,28.39,81430,323111,79.87,1,61,75,5369,2,130,1,61,75,5369,1,61,75,5369,2,1,130,61,1,1,61,87,5901,87,5901,90,6102,89,6033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,5269,79,5269,0,0,0,0,87,5868,2,2,130,130,641,87,5868,0,0,0,0,0,0,0,75,5369,74,5308,0,0,0,0
1479409727,38270936,27692552,41.98,188952,26164716,14787604,11656504,564,66900716,195856,39908,20.38,78643,93634,487,0.14,23.0,32.86,22.38,31.96,23.62,33.75,23.62,33.75,197258,207283,36534128,29429360,44.61,110160,27840372,16435460,11619424,101015,131620,0.09,0.12,178356,226185,55.91,1681.0,56.0,37966848,27996640,42.44,144184,26198504,1017392,0.76,16503464,1248,2,472,1.07,24.69,44.05,283,15,107.0,107.0,106.0,20.62,29.46,20.62,29.46,22.5,32.14,22.5,32.14,217772,186769,46.17,51.25,25942724,369980,0.0,0.0,0.0,13781.0,2512.0,93.0,0.0,56.0,1.0,44.0,0.0,2.0,40348612,25616508,38.83,224412,23503932,1859832,1.4,15604772,456,2880,0,485,1.2,22.66,43.13,98.0,102.0,26.74,381,19,99.0,99.0,105.0,98.0,105.0,23.0,32.86,22.5,32.14,23.5,33.57,23.5,33.57,277904,126765,31.33,36.41,25874354,438350,50.0,40.62,48.48,43.43,44.33,41.41,51.02,20751.0,35226384,30737104,46.6,185124,28032516,2413160,1.81,18031156,10916296,3504,5,689,7.63,32.49,49.53,477,15,0,580.0,580.0,580.0,36.5,52.14,36.5,52.14,36.0,51.43,36.0,51.43,154846,249695,61.72,66.81,25843784,468920,99.92,1047.0,8.0,124.0,3.0,6.0,3.0,2.0,127.0,36942524,29020964,44.0,141480,27493280,625240,0.47,16639216,11078332,156,67030392,66180,11220,16.95,93550,90276,448,626.0,179.0,50.54,331,32,159.0,159.0,168.0,159.0,183.0,22.0,31.43,22.0,31.43,19.38,27.68,19.5,27.86,81430,323111,79.87,0,0,84,5833,0,0,0,0,84,5833,0,0,84,5833,0,0,0,0,0,0,0,77,5631,77,5631,81,5895,83,6027,2,2,130,130,1,2,61,130,1,2,61,1,1,61,61,72,5405,72,5405,2,130,1,61,76,5601,0,0,0,0,411,75,5535,2,1,130,61,0,2,0,83,5767,84,5827,2,130,0,0
1479409728,38267624,27695864,41.99,188952,26167788,14788180,11659208,592,66900716,195856,39908,20.38,78643,93634,487,0.14,22.62,32.32,22.0,31.43,23.5,33.57,23.5,33.57,197258,207283,36534072,29429416,44.61,110160,27840400,16435476,11619440,101015,131620,0.08,0.12,178356,226185,55.91,12150.0,53.0,37739760,28223728,42.79,144184,26198552,1052368,0.79,16533788,1248,16,472,1.07,24.69,44.05,283,15,213.0,213.0,212.0,22.0,31.43,22.0,31.43,23.25,33.21,23.25,33.21,217772,186769,46.17,51.25,25942724,369980,0.0,0.0,0.0,11657.0,2099.0,97.0,2.0,50.0,1.0,44.0,0.0,0.0,40348612,25616508,38.83,224412,23503932,1859832,1.4,15604772,456,2880,0,485,1.2,22.66,43.13,98.0,105.0,26.95,381,19,98.0,98.0,104.0,98.0,104.0,23.0,32.86,22.25,31.79,23.5,33.57,23.5,33.57,277904,126765,31.33,36.41,25874354,438350,45.92,42.86,46.94,41.84,40.0,43.75,41.18,27145.0,35255092,30708396,46.55,185124,28034132,2392056,1.8,18032772,10916696,3504,12,689,7.63,32.49,49.53,477,15,0,508.0,508.0,508.0,36.0,51.43,36.0,51.43,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.87,1389.0,208.0,115.0,3.0,0.0,3.0,49.0,165.0,36942216,29021272,44.0,141480,27493312,625240,0.47,16639232,11078348,188,67030392,66180,11220,16.95,93550,90276,448,1062.0,470.0,352.39,331,32,358.0,358.0,524.0,358.0,810.0,22.0,31.43,22.0,31.43,19.5,27.86,19.5,27.86,81430,323111,79.87,0,0,82,5761,0,0,0,0,83,5827,0,0,82,5761,0,0,0,0,0,0,0,78,5497,78,5497,82,5761,81,5695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,6025,86,6025,0,0,0,0,79,5563,0,0,0,0,599,80,5629,0,0,0,0,0,0,0,84,5893,84,5893,0,0,0,0
1479409729,38265404,27698084,41.99,188952,26169796,14788888,11661148,624,66900716,195856,39908,20.38,78643,93634,487,0.14,22.62,32.32,22.12,31.61,23.38,33.39,23.38,33.39,197258,207283,36534100,29429388,44.61,110160,27840400,16435476,11619440,101015,131620,0.08,0.12,178356,226185,55.91,8731.0,53.0,37787460,28176028,42.71,144184,26198600,1084024,0.81,16534004,1248,3,472,1.86,24.46,43.87,283,15,138.0,138.0,137.0,21.75,31.07,21.75,31.07,23.62,33.75,23.62,33.75,217772,186769,46.17,51.25,25942724,369980,0.0,0.0,0.0,12077.0,2067.0,93.0,0.0,51.0,6.0,44.0,0.0,0.0,40348720,25616400,38.83,224412,23503988,1858808,1.4,15604132,512,2880,0,485,1.2,22.66,43.13,98.0,104.0,26.88,381,19,99.0,99.0,106.0,99.0,106.0,23.0,32.86,22.38,31.96,23.5,33.57,23.5,33.57,277904,126765,31.33,36.41,25874354,438350,45.92,42.86,33.33,47.47,46.53,48.48,34.0,33106.0,35210916,30752572,46.62,185124,28035704,2434220,1.83,18034064,10917316,3504,11,689,7.63,32.49,49.53,477,15,0,365.0,365.0,365.0,36.62,52.32,36.62,52.32,35.5,50.71,35.5,50.71,154846,249695,61.72,66.81,25843784,468920,99.75,2430.0,104.0,77.0,6.0,0.0,0.0,57.0,121.0,36942284,29021204,44.0,141480,27493344,625240,0.47,16639272,11078372,0,67030392,66180,11220,16.95,93550,90278,448,1038.0,636.0,745.0,333,34,254.0,254.0,347.0,254.0,532.0,22.0,31.43,22.0,31.43,19.5,27.86,19.75,28.21,81430,323112,79.87,0,0,162,11048,13,14912,4,449,160,10916,0,0,162,11048,13,4,14912,449,4,13,449,171,11642,170,11576,162,11048,161,10982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,11576,169,11510,0,0,0,0,168,11444,3,2,267,140,717,171,11711,0,0,0,0,0,0,0,158,10784,160,10910,0,0,0,0
1479409731,38262720,27700768,41.99,188952,26173364,14789904,11663620,684,66900716,195856,39908,20.38,78643,93634,487,0.14,22.5,32.14,22.5,32.14,23.38,33.39,23.38,33.39,197258,207283,36534236,29429252,44.61,110164,27840484,16435536,11619492,101015,131620,0.08,0.12,178356,226185,55.91,29568.0,57.0,37851852,28111636,42.62,144184,26198644,1053628,0.79,16532256,1248,2,472,1.86,24.46,43.87,283,15,126.0,126.0,125.0,21.5,30.71,21.75,31.07,23.5,33.57,23.5,33.57,217772,186769,46.17,51.25,25942724,369980,0.04,0.0,0.0,39447.0,22095.0,334.0,0.0,311.0,1.0,44.0,0.0,93.0,40239684,25725436,39.0,224412,23503476,2223012,1.67,15712460,580,2976,4,520,1.2,22.66,43.13,2582.0,1107.0,1097.72,382,20,389.0,389.0,561.0,389.0,989.0,25.0,35.71,24.5,35.0,25.0,35.71,25.0,35.71,277904,126765,31.33,36.41,25874353,438351,44.9,40.82,46.94,37.76,45.83,32.35,53.54,29098.0,35141032,30822456,46.73,185128,28037736,2752320,2.07,18149132,10917048,3600,6,725,8.22,32.19,49.34,478,16,0,443.0,443.0,443.0,36.62,52.32,36.62,52.32,35.88,51.25,35.88,51.25,154846,249695,61.72,66.81,25843784,468920,99.75,2840.0,60.0,38.0,0.0,101.0,117.0,152.0,95.0,36945828,29017660,43.99,141480,27493408,625240,0.47,16639324,11078408,76,67030392,66180,11220,16.95,93550,90280,448,1406.0,814.0,943.4,335,36,396.0,396.0,589.0,392.0,860.0,22.0,31.43,22.0,31.43,19.5,27.86,19.5,27.86,81429,323112,79.87,0,0,121,8166,850,1204556,171,11782,120,8100,0,0,121,8166,850,170,1204556,11704,171,850,11782,134,9088,134,9088,130,8760,130,8760,503,64,716750,4436,64,503,4436,1181558,165,790,11338,790,165,1116542,11338,153,10342,153,10342,0,0,0,0,148,10012,21,281,1470,644378,1178,169,11482,706,160,990588,11008,160,728,11008,122,8232,120,8094,0,0,0,0
1479409732,38260712,27702776,42.0,188952,26175416,14790428,11665020,716,66900716,195856,39908,20.38,78643,93634,487,0.14,22.62,32.32,22.0,31.43,23.0,32.86,23.0,32.86,197258,207283,36534724,29428764,44.61,110164,27840516,16435552,11619508,101015,131620,0.08,0.12,178356,226185,55.91,15407.0,58.0,37687052,28276436,42.87,144184,26198704,1332596,1.0,16647928,1344,2,508,1.86,24.46,43.87,284,16,261.0,261.0,260.0,22.5,32.14,22.5,32.14,24.62,35.18,24.62,35.18,217772,186769,46.17,51.25,25942723,369981,0.0,0.0,0.0,23132.0,4643.0,112.0,3.0,85.0,5.0,44.0,0.0,15.0,40238448,25726672,39.0,224420,23503488,2221988,1.67,15712928,640,2976,0,520,1.18,22.3,42.91,1590.0,610.0,544.77,382,20,135.0,135.0,137.0,135.0,198.0,23.75,33.93,23.62,33.75,24.38,34.82,24.5,35.0,277904,126765,31.33,36.41,25874353,438351,53.68,33.68,52.53,32.32,33.0,35.71,56.57,40458.0,35223320,30740168,46.6,185128,28038712,2773700,2.08,18152836,10916880,3600,9,725,8.22,32.19,49.34,478,16,0,463.0,463.0,463.0,36.5,52.14,36.5,52.14,36.0,51.43,36.0,51.43,154846,249695,61.72,66.81,25843784,468920,99.67,2347.0,98.0,170.0,112.0,106.0,125.0,103.0,180.0,36946392,29017096,43.99,141480,27493408,625240,0.47,16639324,11078408,76,67030392,66180,11220,16.95,93550,90284,448,1097.0,829.0,866.27,339,40,632.0,632.0,805.0,633.0,1185.0,21.88,31.25,21.88,31.25,19.5,27.86,20.0,28.57,81429,323112,79.87,0,0,105,7319,95,142382,9,594,106,7385,0,0,105,7319,95,10,142382,672,9,95,594,96,6649,95,6583,96,6713,96,6713,110,14,160756,1109,14,110,1109,192612,10,125,660,125,10,187802,660,87,6055,87,6055,0,0,0,0,95,6583,18,172,1373,397542,700,113,7956,126,10,189316,660,10,126,660,104,7253,104,7253,0,0,0,0
