TimeStamp,0_kbmemfree,0_kbmemused,0_X..memused,0_kbbuffers,0_kbcached,0_kbactive,0_kbinact,0_kbswpfree,0_kbswpused,0_kbswpcad,0_dentunusd,0_inode.nr,0_X.dev.mapper.cloud..2.root_MBfsfree,0_X.dev.mapper.cloud..2.root_MBfsused,1_kbmemfree,1_kbmemused,1_X..memused,1_kbbuffers,1_kbcached,1_kbactive,1_kbinact,1_ldavg.15,1_X.dev.mapper.cloud..3.root_MBfsfree,1_X.dev.mapper.cloud..3.root_MBfsused,1_X.dev.mapper.cloud..3.root_.fsused,2_kbmemfree,2_kbmemused,2_X..memused,2_kbbuffers,2_kbcached,2_kbactive,2_file.nr,2_plist.sz,2_ldavg.1,2_ldavg.5,2_ldavg.15,2_totsck,2_X.dev.mapper.cloud..7.root_MBfsfree,2_X.dev.mapper.cloud..7.root_MBfsused,2_X.dev.mapper.cloud..7.root_.fsused,2_X.dev.mapper.cloud..7.root_.ufsused,2_X.dev.mapper.cloud..7.root_Ifree,2_X.dev.mapper.cloud..7.root_Iused,3_sum_intr.s,3_i129_intr.s,3_kbmemfree,3_kbmemused,3_X..memused,3_kbbuffers,3_kbcached,3_kbcommit,3_X..commit,3_kbactive,3_file.nr,3_runq.sz,3_plist.sz,3_ldavg.1,3_ldavg.5,3_ldavg.15,3_totsck,3_irec.s,3_idel.s,3_orq.s,3_iseg.s,3_X.dev.mapper.cloud..8.root_MBfsfree,3_X.dev.mapper.cloud..8.root_MBfsused,3_X.dev.mapper.cloud..8.root_.fsused,3_X.dev.mapper.cloud..8.root_.ufsused,3_X.dev.mapper.cloud..8.root_Ifree,3_X.dev.mapper.cloud..8.root_Iused,4_kbmemfree,4_kbmemused,4_X..memused,4_kbbuffers,4_kbcached,4_kbcommit,4_X..commit,4_kbactive,4_file.nr,4_runq.sz,4_plist.sz,4_ldavg.1,4_ldavg.5,4_ldavg.15,4_tcp.tw,4_X.dev.mapper.cloud..9.root_MBfsfree,4_X.dev.mapper.cloud..9.root_MBfsused,4_X.dev.mapper.cloud..9.root_.fsused,4_X.dev.mapper.cloud..9.root_.ufsused,4_X.dev.mapper.cloud..9.root_Ifree,4_X.dev.mapper.cloud..9.root_Iused,5_i138_intr.s,5_i139_intr.s,5_i142_intr.s,5_kbbuffers,5_kbcached,5_kbactive,5_kbinact,5_kbdirty,5_kbswpfree,5_kbswpused,5_kbswpcad,5_X..swpcad,5_dentunusd,5_irec.s,5_idel.s,5_orq.s,5_iseg.s,5_temp1_degC,5_temp1_.temp,5_temp2_degC,5_temp2_.temp,5_temp3_degC,5_temp3_.temp,5_temp4_degC,5_temp4_.temp,5_X.dev.mapper.cloud..5.root_MBfsfree,5_X.dev.mapper.cloud..5.root_MBfsused,5_X.dev.mapper.cloud..5.root_.fsused,6_RxPacktes,6_RxBytes,5_TxPacktes,5_TxBytes,6_RxPacktes,6_RxBytes,22_TxPacktes,22_TxBytes,23_RxPacktes,23_RxBytes,24_RxPacktes,24_RxBytes,25_TxPacktes,25_TxBytes,35_RxPacktes,35_RxBytes,37_TxPacktes,38_RxPacktes
1479409722,38283968,27679520,41.96,188948,26150836,14784836,11645780,66900716,195856,39908,78643,93634,197258,207283,36533676,29429812,44.62,110152,27840196,16435392,11619372,0.12,178356,226185,55.91,38059704,27903784,42.3,144184,26198356,16422076,1200,437,1.16,25.1,44.28,282,217772,186769,46.17,51.25,25942725,369979,2731.0,51.0,40347300,25617820,38.84,224404,23503784,1859432,1.4,15604696,2880,0,485,1.31,23.04,43.37,381,99.0,99.0,105.0,99.0,277904,126765,31.33,36.41,25874354,438350,35313780,30649708,46.46,185124,28024196,2370928,1.78,18030028,3504,16,689,6.99,32.78,49.71,0,154846,249695,61.72,66.81,25843784,468920,1.0,2.0,139.0,141480,27493088,16639180,11078260,324,67030392,66180,11220,16.95,93550,166.0,166.0,279.0,167.0,21.12,30.18,21.12,30.18,19.5,27.86,19.62,28.04,81430,323111,79.87,0,0,0,0,0,0,0,0,0,0,9,1430,9,1430,0,0,9,9
1479409723,38282528,27680960,41.96,188948,26153340,14785404,11647544,66900716,195856,39908,78643,93634,197258,207283,36533660,29429828,44.62,110152,27840252,16435408,11619384,0.12,178356,226185,55.91,38060252,27903236,42.3,144184,26198388,16422224,1200,437,1.16,25.1,44.28,282,217772,186769,46.17,51.25,25942725,369979,2137.0,51.0,40347796,25617324,38.83,224404,23503812,1859432,1.4,15604700,2880,0,485,1.31,23.04,43.37,381,98.0,98.0,103.0,98.0,277904,126765,31.33,36.41,25874354,438350,35266088,30697400,46.54,185124,28026100,2413128,1.81,18026788,3504,14,689,6.99,32.78,49.71,0,154846,249695,61.72,66.81,25843784,468920,3.0,1.0,116.0,141480,27493120,16639128,11078272,356,67030392,66180,11220,16.95,93550,143.0,143.0,167.0,143.0,22.0,31.43,22.0,31.43,19.0,27.14,19.5,27.86,81430,323111,79.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479409724,38280172,27683316,41.97,188948,26156308,14786108,11649872,66900716,195856,39908,78643,93634,197258,207283,36533728,29429760,44.62,110152,27840284,16435424,11619396,0.12,178356,226185,55.91,38060960,27902528,42.3,144184,26198416,16422256,1200,437,1.07,24.69,44.05,282,217772,186769,46.17,51.25,25942725,369979,3045.0,53.0,40348924,25616196,38.83,224404,23503812,1859832,1.4,15604768,2880,0,485,1.31,23.04,43.37,381,100.0,100.0,104.0,100.0,277904,126765,31.33,36.41,25874354,438350,35225192,30738296,46.6,185124,28027896,2370984,1.78,18027544,3504,9,689,6.99,32.78,49.71,0,154846,249695,61.72,66.81,25843784,468920,4.0,0.0,66.0,141480,27493152,16639160,11078284,332,67030392,66180,11220,16.95,93550,89.0,89.0,106.0,88.0,21.62,30.89,21.62,30.89,19.25,27.5,19.5,27.86,81430,323111,79.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479409725,38276788,27686700,41.97,188948,26159024,14786592,11651992,66900716,195856,39908,78643,93634,197258,207283,36533976,29429512,44.61,110152,27840312,16435444,11619408,0.12,178356,226185,55.91,38061100,27902388,42.3,144184,26198444,16422304,1200,437,1.07,24.69,44.05,282,217772,186769,46.17,51.25,25942725,369979,1676.0,50.0,40348676,25616444,38.83,224404,23503872,1859832,1.4,15604716,2880,0,485,1.31,23.04,43.37,381,98.0,98.0,102.0,98.0,277904,126765,31.33,36.41,25874354,438350,35253316,30710172,46.56,185124,28030044,2413152,1.81,18028720,3504,15,689,6.99,32.78,49.71,0,154846,249695,61.72,66.81,25843784,468920,0.0,3.0,101.0,141480,27493184,16639180,11078296,364,67030392,66180,11220,16.95,93550,157.0,157.0,167.0,157.0,21.75,31.07,21.75,31.07,19.5,27.86,19.5,27.86,81430,323111,79.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479409726,38272760,27690728,41.98,188952,26162328,14786980,11654728,66900716,195856,39908,78643,93634,197258,207283,36534128,29429360,44.61,110160,27840336,16435460,11619420,0.12,178356,226185,55.91,38061220,27902268,42.3,144184,26198476,16422340,1200,437,1.07,24.69,44.05,282,217772,186769,46.17,51.25,25942725,369979,2443.0,54.0,40348604,25616516,38.83,224404,23503872,1859832,1.4,15604768,2880,0,485,1.31,23.04,43.37,381,98.0,98.0,102.0,98.0,277904,126765,31.33,36.41,25874354,438350,35225280,30738208,46.6,185124,28031312,2434244,1.83,18031112,3504,15,689,7.63,32.49,49.53,0,154846,249695,61.72,66.81,25843784,468920,0.0,0.0,109.0,141480,27493248,16639216,11078328,124,67030392,66180,11220,16.95,93550,143.0,143.0,154.0,142.0,22.0,31.43,22.0,31.43,19.0,27.14,19.88,28.39,81430,323111,79.87,1,61,1,61,1,61,0,0,0,0,0,0,0,0,2,130,0,0
1479409727,38270936,27692552,41.98,188952,26164716,14787604,11656504,66900716,195856,39908,78643,93634,197258,207283,36534128,29429360,44.61,110160,27840372,16435460,11619424,0.12,178356,226185,55.91,37966848,27996640,42.44,144184,26198504,16503464,1248,472,1.07,24.69,44.05,283,217772,186769,46.17,51.25,25942724,369980,2512.0,56.0,40348612,25616508,38.83,224412,23503932,1859832,1.4,15604772,2880,0,485,1.2,22.66,43.13,381,99.0,99.0,105.0,98.0,277904,126765,31.33,36.41,25874354,438350,35226384,30737104,46.6,185124,28032516,2413160,1.81,18031156,3504,5,689,7.63,32.49,49.53,0,154846,249695,61.72,66.81,25843784,468920,3.0,6.0,127.0,141480,27493280,16639216,11078332,156,67030392,66180,11220,16.95,93550,159.0,159.0,168.0,159.0,22.0,31.43,22.0,31.43,19.38,27.68,19.5,27.86,81430,323111,79.87,0,0,0,0,0,0,2,130,1,61,1,61,1,61,0,0,1,0
1479409728,38267624,27695864,41.99,188952,26167788,14788180,11659208,66900716,195856,39908,78643,93634,197258,207283,36534072,29429416,44.61,110160,27840400,16435476,11619440,0.12,178356,226185,55.91,37739760,28223728,42.79,144184,26198552,16533788,1248,472,1.07,24.69,44.05,283,217772,186769,46.17,51.25,25942724,369980,2099.0,50.0,40348612,25616508,38.83,224412,23503932,1859832,1.4,15604772,2880,0,485,1.2,22.66,43.13,381,98.0,98.0,104.0,98.0,277904,126765,31.33,36.41,25874354,438350,35255092,30708396,46.55,185124,28034132,2392056,1.8,18032772,3504,12,689,7.63,32.49,49.53,0,154846,249695,61.72,66.81,25843784,468920,3.0,0.0,165.0,141480,27493312,16639232,11078348,188,67030392,66180,11220,16.95,93550,358.0,358.0,524.0,358.0,22.0,31.43,22.0,31.43,19.5,27.86,19.5,27.86,81430,323111,79.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1479409729,38265404,27698084,41.99,188952,26169796,14788888,11661148,66900716,195856,39908,78643,93634,197258,207283,36534100,29429388,44.61,110160,27840400,16435476,11619440,0.12,178356,226185,55.91,37787460,28176028,42.71,144184,26198600,16534004,1248,472,1.86,24.46,43.87,283,217772,186769,46.17,51.25,25942724,369980,2067.0,51.0,40348720,25616400,38.83,224412,23503988,1858808,1.4,15604132,2880,0,485,1.2,22.66,43.13,381,99.0,99.0,106.0,99.0,277904,126765,31.33,36.41,25874354,438350,35210916,30752572,46.62,185124,28035704,2434220,1.83,18034064,3504,11,689,7.63,32.49,49.53,0,154846,249695,61.72,66.81,25843784,468920,6.0,0.0,121.0,141480,27493344,16639272,11078372,0,67030392,66180,11220,16.95,93550,254.0,254.0,347.0,254.0,22.0,31.43,22.0,31.43,19.5,27.86,19.75,28.21,81430,323112,79.87,4,449,4,449,4,449,0,0,0,0,0,0,0,0,3,267,0,0
1479409731,38262720,27700768,41.99,188952,26173364,14789904,11663620,66900716,195856,39908,78643,93634,197258,207283,36534236,29429252,44.61,110164,27840484,16435536,11619492,0.12,178356,226185,55.91,37851852,28111636,42.62,144184,26198644,16532256,1248,472,1.86,24.46,43.87,283,217772,186769,46.17,51.25,25942724,369980,22095.0,311.0,40239684,25725436,39.0,224412,23503476,2223012,1.67,15712460,2976,4,520,1.2,22.66,43.13,382,389.0,389.0,561.0,389.0,277904,126765,31.33,36.41,25874353,438351,35141032,30822456,46.73,185128,28037736,2752320,2.07,18149132,3600,6,725,8.22,32.19,49.34,0,154846,249695,61.72,66.81,25843784,468920,0.0,101.0,95.0,141480,27493408,16639324,11078408,76,67030392,66180,11220,16.95,93550,396.0,396.0,589.0,392.0,22.0,31.43,22.0,31.43,19.5,27.86,19.5,27.86,81429,323112,79.87,171,11782,170,11704,171,11782,64,4436,64,4436,165,11338,165,11338,21,1470,160,160
1479409732,38260712,27702776,42.0,188952,26175416,14790428,11665020,66900716,195856,39908,78643,93634,197258,207283,36534724,29428764,44.61,110164,27840516,16435552,11619508,0.12,178356,226185,55.91,37687052,28276436,42.87,144184,26198704,16647928,1344,508,1.86,24.46,43.87,284,217772,186769,46.17,51.25,25942723,369981,4643.0,85.0,40238448,25726672,39.0,224420,23503488,2221988,1.67,15712928,2976,0,520,1.18,22.3,42.91,382,135.0,135.0,137.0,135.0,277904,126765,31.33,36.41,25874353,438351,35223320,30740168,46.6,185128,28038712,2773700,2.08,18152836,3600,9,725,8.22,32.19,49.34,0,154846,249695,61.72,66.81,25843784,468920,112.0,106.0,180.0,141480,27493408,16639324,11078408,76,67030392,66180,11220,16.95,93550,632.0,632.0,805.0,633.0,21.88,31.25,21.88,31.25,19.5,27.86,20.0,28.57,81429,323112,79.87,9,594,10,672,9,594,14,1109,14,1109,10,660,10,660,18,1373,10,10
