carga,apps,feature,método, mét. stepwise,nmae
FlashcrowdLoad,BothApps,DispFrames,RT,RT,0.046841584978314206,
FlashcrowdLoad,BothApps,DispFrames,RF,RT,0.05657871137763899,
FlashcrowdLoad,BothApps,DispFrames,RT,RF,0.049671924857309785,
FlashcrowdLoad,BothApps,DispFrames,RF,RF,0.05396082757924641,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RT,0.14999999999999997,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RT,0.15498879334988397,
FlashcrowdLoad,BothApps,noAudioPlayed,RT,RF,0.1663665059354364,
FlashcrowdLoad,BothApps,noAudioPlayed,RF,RF,0.14784862440676122,
PeriodicLoad,BothApps,DispFrames,RT,RT,0.06441073907302705,
PeriodicLoad,BothApps,DispFrames,RF,RT,0.07322576765441154,
PeriodicLoad,BothApps,DispFrames,RT,RF,0.06287321368011406,
PeriodicLoad,BothApps,DispFrames,RF,RF,0.0698498685751887,
PeriodicLoad,BothApps,noAudioPlayed,RT,RT,0.21694559865266963,
PeriodicLoad,BothApps,noAudioPlayed,RF,RT,0.21463777428424194,
PeriodicLoad,BothApps,noAudioPlayed,RT,RF,0.21934613102652328,
PeriodicLoad,BothApps,noAudioPlayed,RF,RF,0.2138366664296457,
FlashcrowdLoad,SingleApp,DispFrames,RT,RT,0.04768883053264797,
FlashcrowdLoad,SingleApp,DispFrames,RF,RT,0.053982251028313236,
FlashcrowdLoad,SingleApp,DispFrames,RT,RF,0.05073736922754681,
FlashcrowdLoad,SingleApp,DispFrames,RF,RF,0.05560844575369412,
FlashcrowdLoad,SingleApp,noAudioPlayed,RT,RT,0.15226587423166868,
FlashcrowdLoad,SingleApp,noAudioPlayed,RF,RT,0.1597207160603129,
FlashcrowdLoad,SingleApp,noAudioPlayed,RT,RF,0.14551503874366295,
FlashcrowdLoad,SingleApp,noAudioPlayed,RF,RF,0.1536885257850164,
PeriodicLoad,SingleApp,DispFrames,RT,RT,0.04275216221942428,
PeriodicLoad,SingleApp,DispFrames,RF,RT,0.049148266674164214,
PeriodicLoad,SingleApp,DispFrames,RT,RF,0.04487218494508496,
PeriodicLoad,SingleApp,DispFrames,RF,RF,0.04913011890022724,
PeriodicLoad,SingleApp,noAudioPlayed,RT,RT,0.1732123070933738,
PeriodicLoad,SingleApp,noAudioPlayed,RF,RT,0.16733498948174896,
PeriodicLoad,SingleApp,noAudioPlayed,RT,RF,0.17341505090637155,
PeriodicLoad,SingleApp,noAudioPlayed,RF,RF,0.1630879145295357,
FlashcrowdLoad,BothApps,ReadsAvg,RT,RT,0.04545112928403986,
FlashcrowdLoad,BothApps,ReadsAvg,RF,RT,0.042121626621236946,
FlashcrowdLoad,BothApps,ReadsAvg,RT,RF,0.042961720957069516,
FlashcrowdLoad,BothApps,ReadsAvg,RF,RF,0.03054146193773048,
FlashcrowdLoad,BothApps,WritesAvg,RT,RT,0.052882651749823956,
FlashcrowdLoad,BothApps,WritesAvg,RF,RT,0.05157444769458256,
FlashcrowdLoad,BothApps,WritesAvg,RT,RF,0.04232063029226409,
FlashcrowdLoad,BothApps,WritesAvg,RF,RF,0.030274294768134317,
PeriodicLoad,BothApps,ReadsAvg,RT,RT,0.0484349857372338,
PeriodicLoad,BothApps,ReadsAvg,RF,RT,0.048098318540372255,
PeriodicLoad,BothApps,ReadsAvg,RT,RF,0.05307820236696295,
PeriodicLoad,BothApps,ReadsAvg,RF,RF,0.03897213631113877,
PeriodicLoad,BothApps,WritesAvg,RT,RT,0.04669425721432073,
PeriodicLoad,BothApps,WritesAvg,RF,RT,0.0464175821190261,
PeriodicLoad,BothApps,WritesAvg,RT,RF,0.047769869224296456,
PeriodicLoad,BothApps,WritesAvg,RF,RF,0.047253541206325245,
FlashcrowdLoad,SingleApp,ReadsAvg,RT,RT,0.019910621313178632,
FlashcrowdLoad,SingleApp,ReadsAvg,RF,RT,0.019924964557090637,
FlashcrowdLoad,SingleApp,ReadsAvg,RT,RF,0.019567700544737582,
FlashcrowdLoad,SingleApp,ReadsAvg,RF,RF,0.01956459568635787,
FlashcrowdLoad,SingleApp,WritesAvg,RT,RT,0.021028804248452996,
FlashcrowdLoad,SingleApp,WritesAvg,RF,RT,0.020970273539177693,
FlashcrowdLoad,SingleApp,WritesAvg,RT,RF,0.020709815261654524,
FlashcrowdLoad,SingleApp,WritesAvg,RF,RF,0.02069121659702273,
PeriodicLoad,SingleApp,ReadsAvg,RT,RT,0.026223017786851703,
PeriodicLoad,SingleApp,ReadsAvg,RF,RT,0.026210868157732825,
PeriodicLoad,SingleApp,ReadsAvg,RT,RF,0.026216617983657,
PeriodicLoad,SingleApp,ReadsAvg,RF,RF,0.02619574829086102,
PeriodicLoad,SingleApp,WritesAvg,RT,RT,0.02695961471557093,
PeriodicLoad,SingleApp,WritesAvg,RF,RT,0.02689839542715894,
PeriodicLoad,SingleApp,WritesAvg,RT,RF,0.026808918698472312,
PeriodicLoad,SingleApp,WritesAvg,RF,RF,0.02677249664578927,
