,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime
0,1,BothApps,FlashcrowdLoad,RegTree,0.056144433190360075,0.014493227005004883,0.10443886786804456,0.006669521331787109
1,1,BothApps,FlashcrowdLoad,RandomForest,0.05418214064541723,0.4335367679595947,0.10436349282820118,0.3819417953491211
2,2,BothApps,FlashcrowdLoad,RegTree,0.06391604492920412,0.029828310012817383,0.10576095651422388,0.011477947235107422
3,2,BothApps,FlashcrowdLoad,RandomForest,0.05556349449606345,0.5436341762542725,0.10465005820809528,0.44354820251464844
4,3,BothApps,FlashcrowdLoad,RegTree,0.06493842634738084,0.04046320915222168,0.11013147677392218,0.02174854278564453
5,3,BothApps,FlashcrowdLoad,RandomForest,0.05553032306160269,0.5862014293670654,0.10521507833758253,0.49805688858032227
6,4,BothApps,FlashcrowdLoad,RegTree,0.0593583667754284,0.0711822509765625,0.10526946471209087,0.03186392784118652
7,4,BothApps,FlashcrowdLoad,RandomForest,0.04571620456395505,0.8330483436584473,0.10112050518313147,0.5705866813659668
8,5,BothApps,FlashcrowdLoad,RegTree,0.06018592658213764,0.08301115036010742,0.10807306122630239,0.04256391525268555
9,5,BothApps,FlashcrowdLoad,RandomForest,0.04552536568714722,0.9758059978485107,0.10089386169923882,0.621211051940918
10,6,BothApps,FlashcrowdLoad,RegTree,0.06002696736084611,0.0832984447479248,0.10692287537580879,0.05983614921569824
11,6,BothApps,FlashcrowdLoad,RandomForest,0.0455365025845603,1.0599915981292725,0.10083062810213413,0.7776739597320557
12,7,BothApps,FlashcrowdLoad,RegTree,0.06040415935388984,0.11627674102783203,0.10458475626273975,0.06995987892150879
13,7,BothApps,FlashcrowdLoad,RandomForest,0.04459057297530586,1.3841476440429688,0.09936687968049404,0.8065321445465088
14,8,BothApps,FlashcrowdLoad,RegTree,0.05395980426920487,0.12405157089233398,0.1059325609176618,0.08106017112731934
15,8,BothApps,FlashcrowdLoad,RandomForest,0.040068275835317586,1.4143993854522705,0.09933275898055341,0.9521811008453369
16,9,BothApps,FlashcrowdLoad,RegTree,0.05263935616555228,0.1325361728668213,0.10642327727472566,0.09017539024353027
17,9,BothApps,FlashcrowdLoad,RandomForest,0.03950770625094688,1.4257991313934326,0.09911915303689031,1.0734179019927979
18,10,BothApps,FlashcrowdLoad,RegTree,0.0526965815518733,0.13661646842956543,0.10183363605277532,0.10447382926940918
19,10,BothApps,FlashcrowdLoad,RandomForest,0.03940132226250286,1.6471424102783203,0.0984402362247851,1.1972582340240479
20,11,BothApps,FlashcrowdLoad,RegTree,0.050920953378366815,0.16419649124145508,0.10110311260719154,0.11769723892211914
