,k_best,LoadPattern,ExpType,RegressionMethod,ReadsAvgNmae,ReadsAvgTrainingTime,DispFramesNmae,DispFramesTrainingTime,ReadsAvgNmaeOriginal,ReadsAvgTrainingTimeOriginal,DispFramesNmaeOriginal,DispFramesTrainingTimeOriginal,DeltaToOriginalReadsAvgNmae,DeltaToOriginalDispFramesNmae
0,1,PeriodicLoad,BothApps,RandomForest,0.04831603422367042,0.40488195419311523,0.14344228325122582,0.40474390983581543,0.02,32,0.11,40,0.028316034223670423,0.03344228325122582
1,1,PeriodicLoad,BothApps,RandomForest,0.04831603422367042,0.40488195419311523,0.14344228325122582,0.40474390983581543,0.02,30,0.11,38,0.028316034223670423,0.03344228325122582
2,2,PeriodicLoad,BothApps,RandomForest,0.05537361727971004,0.647925615310669,0.10166733876085098,0.7654800415039062,0.02,32,0.11,40,0.03537361727971004,-0.008332661239149025
3,2,PeriodicLoad,BothApps,RandomForest,0.05537361727971004,0.647925615310669,0.10166733876085098,0.7654800415039062,0.02,30,0.11,38,0.03537361727971004,-0.008332661239149025
4,3,PeriodicLoad,BothApps,RandomForest,0.05139133285079389,1.0210556983947754,0.10317913651940191,0.8463699817657471,0.02,32,0.11,40,0.03139133285079389,-0.0068208634805980856
5,3,PeriodicLoad,BothApps,RandomForest,0.05139133285079389,1.0210556983947754,0.10317913651940191,0.8463699817657471,0.02,30,0.11,38,0.03139133285079389,-0.0068208634805980856
6,4,PeriodicLoad,BothApps,RandomForest,0.04959194482069101,1.2607731819152832,0.10810026547117868,0.9869632720947266,0.02,32,0.11,40,0.029591944820691007,-0.0018997345288213202
7,4,PeriodicLoad,BothApps,RandomForest,0.04959194482069101,1.2607731819152832,0.10810026547117868,0.9869632720947266,0.02,30,0.11,38,0.029591944820691007,-0.0018997345288213202
8,5,PeriodicLoad,BothApps,RandomForest,0.045455646115543494,1.8251667022705078,0.1086164207729163,1.0746612548828125,0.02,32,0.11,40,0.025455646115543493,-0.001383579227083695
9,5,PeriodicLoad,BothApps,RandomForest,0.045455646115543494,1.8251667022705078,0.1086164207729163,1.0746612548828125,0.02,30,0.11,38,0.025455646115543493,-0.001383579227083695
10,6,PeriodicLoad,BothApps,RandomForest,0.045456860136562104,2.4560494422912598,0.1114267278321899,1.4008386135101318,0.02,32,0.11,40,0.025456860136562103,0.001426727832189903
